listing_id,make,model,family,year,age,mileage,condition,seller_type,region,season,title_status,engine_cc,horsepower,torque_ft_lbs,weight_lbs,power_to_weight,abs,carbon_fiber,mods_score,service_records,num_photos,description_score,days_on_market,listing_price,synthetic_fair_market_value,deal_delta_pct,deal_quality
L00001,Yamaha,MT-09,naked,2022,4,19845,fair,auction,Mountain,summer,clean,890,117,68,417,0.2806,1,0,0.346,1,14,0.836,22,4493.83,4274.04,0.0514,market price
L00002,Buell,1190SX,streetfighter,2023,3,9999,excellent,dealer,Southwest,fall,clean,1190,185,102,414,0.4469,1,1,0.643,1,9,0.61,29,23199.64,22192.11,0.0454,market price
L00003,Buell,Blast,standard,2009,17,43778,good,private,Southeast,fall,clean,492,34,30,360,0.0944,0,0,0.148,0,13,0.829,29,1200.0,1000.0,0.2,overpriced
L00004,Buell,XB12R Firebolt,sportbike,2005,21,78446,fair,private,Southeast,winter,clean,1203,103,84,395,0.2608,0,0,0.502,1,9,0.586,14,1200.0,1000.0,0.2,overpriced
L00005,Buell,Blast,standard,2006,20,9862,very good,private,Mountain,winter,clean,492,34,30,360,0.0944,0,0,0.266,1,14,0.642,8,1200.0,1000.0,0.2,overpriced
L00006,Buell,Super Cruiser,performance cruiser,2026,0,836,very good,dealer,Mountain,spring,clean,1190,175,94,485,0.3608,1,0,0.191,0,9,0.441,28,32000.0,34000.0,-0.0588,fair deal
L00007,Buell,1190SX,streetfighter,2020,6,26210,good,dealer,Southeast,summer,clean,1190,185,102,414,0.4469,1,1,0.033,1,12,0.499,16,9294.62,9673.72,-0.0392,market price
L00008,Ducati,Monster,naked,2017,9,15465,fair,auction,Southwest,spring,clean,937,111,69,414,0.2681,1,0,0.454,1,8,0.391,22,3802.33,3707.44,0.0256,market price
L00009,Buell,Blast,standard,2001,25,70784,good,private,Midwest,winter,clean,492,34,30,360,0.0944,0,0,0.436,0,6,0.552,11,1200.0,1000.0,0.2,overpriced
L00010,Buell,1125CR,streetfighter,2009,17,47219,good,dealer,Southwest,winter,clean,1125,146,82,375,0.3893,0,0,1.0,1,7,0.254,25,1200.0,1169.94,0.0257,market price
L00011,Buell,XB12R Firebolt,sportbike,2005,21,106518,fair,private,Southwest,spring,clean,1203,103,84,395,0.2608,0,0,0.337,1,11,0.877,15,1200.0,1000.0,0.2,overpriced
L00012,Buell,1125CR,streetfighter,2009,17,114325,very good,private,West Coast,fall,clean,1125,146,82,375,0.3893,0,0,0.312,0,8,0.769,15,1200.0,1000.0,0.2,overpriced
L00013,KTM,1290 Super Duke R,naked,2015,11,38990,very good,private,Southeast,winter,clean,1301,177,103,440,0.4023,1,0,0.616,0,17,0.717,9,4192.52,3548.17,0.1816,overpriced
L00014,Harley-Davidson,Sportster S,performance cruiser,2025,1,2442,excellent,private,West Coast,spring,clean,1252,121,94,502,0.241,1,0,0.255,1,10,0.748,45,21850.31,20404.96,0.0708,market price
L00015,Buell,Hammerhead 1190,superbike,2024,2,1623,good,dealer,Midwest,winter,clean,1190,185,102,419,0.4415,1,1,0.357,0,12,0.583,17,21990.48,20761.54,0.0592,market price
L00016,BMW,S1000R,naked,2023,3,7882,poor,private,Southwest,summer,clean,999,165,84,438,0.3767,1,0,0.372,1,21,1.0,12,6746.17,8040.53,-0.161,strong deal
L00017,Yamaha,MT-09,naked,2025,1,643,good,private,Southwest,fall,clean,890,117,68,417,0.2806,1,0,0.881,1,7,0.661,5,12154.68,9848.09,0.2342,overpriced
L00018,Buell,1190SX,streetfighter,2021,5,10757,fair,private,Mountain,summer,clean,1190,185,102,414,0.4469,1,1,0.765,0,10,0.835,27,11299.12,11467.94,-0.0147,market price
L00019,Buell,Hammerhead 1190,superbike,2025,1,727,very good,dealer,Southwest,fall,clean,1190,185,102,419,0.4415,1,1,0.363,1,8,0.743,20,32000.0,31387.33,0.0195,market price
L00020,Buell,XB12R Firebolt,sportbike,2006,20,38816,excellent,private,Mountain,fall,clean,1203,103,84,395,0.2608,0,0,0.573,1,6,0.586,24,1200.0,1000.0,0.2,overpriced
L00021,Buell,Hammerhead 1190,superbike,2026,0,20,good,dealer,Midwest,winter,clean,1190,185,102,419,0.4415,1,1,0.0,1,17,0.373,34,27335.66,27521.31,-0.0067,market price
L00022,Buell,Blast,standard,2002,24,68295,excellent,private,Southeast,spring,clean,492,34,30,360,0.0944,0,0,0.769,1,14,0.621,22,1200.0,1000.0,0.2,overpriced
L00023,Buell,1190SX,streetfighter,2021,5,17035,fair,dealer,Southeast,summer,lien,1190,185,102,414,0.4469,1,1,0.334,1,8,0.982,30,9467.14,10655.3,-0.1115,fair deal
L00024,Buell,1190SX,streetfighter,2015,11,13011,very good,private,Southwest,summer,clean,1190,185,102,414,0.4469,1,1,0.0,1,11,0.763,50,6467.08,6916.82,-0.065,fair deal
L00025,Buell,Hammerhead 1190,superbike,2026,0,1919,very good,dealer,Southwest,summer,lien,1190,185,102,419,0.4415,1,1,0.406,0,7,0.65,19,32000.0,32440.43,-0.0136,market price
L00026,Buell,XB12R Firebolt,sportbike,2006,20,64541,very good,auction,Mountain,fall,clean,1203,103,84,395,0.2608,0,0,0.353,1,14,0.848,29,1200.0,1000.0,0.2,overpriced
L00027,Buell,Hammerhead 1190,superbike,2024,2,5283,good,dealer,Midwest,spring,clean,1190,185,102,419,0.4415,1,1,0.159,0,13,0.735,22,22788.13,21691.98,0.0505,market price
L00028,Buell,Hammerhead 1190,superbike,2024,2,8424,excellent,private,West Coast,winter,clean,1190,185,102,419,0.4415,1,1,0.397,0,9,0.784,18,25598.95,23458.44,0.0912,overpriced
L00029,Buell,Blast,standard,2009,17,10324,fair,dealer,Southeast,fall,clean,492,34,30,360,0.0944,0,0,0.611,1,10,0.951,22,1200.0,1000.0,0.2,overpriced
L00030,Ducati,Monster,naked,2025,1,1883,excellent,dealer,Midwest,winter,clean,937,111,69,414,0.2681,1,0,0.464,1,3,0.866,14,12858.35,14573.22,-0.1177,fair deal
L00031,Buell,XB12R Firebolt,sportbike,2007,19,57358,fair,auction,Southeast,summer,clean,1203,103,84,395,0.2608,0,0,0.606,1,15,0.757,19,1200.0,1000.0,0.2,overpriced
L00032,Buell,Hammerhead 1190,superbike,2024,2,7117,good,private,Southeast,summer,clean,1190,185,102,419,0.4415,1,1,0.425,1,4,0.265,9,20965.45,21664.14,-0.0323,market price
L00033,Buell,XB12R Firebolt,sportbike,2005,21,36589,very good,dealer,West Coast,summer,clean,1203,103,84,395,0.2608,0,0,0.269,1,6,0.681,76,1200.0,1000.0,0.2,overpriced
L00034,KTM,1290 Super Duke R,naked,2022,4,16930,very good,dealer,West Coast,spring,clean,1301,177,103,440,0.4023,1,0,0.51,1,12,0.623,27,17259.2,15648.78,0.1029,overpriced
L00035,Ducati,Monster,naked,2025,1,2359,good,dealer,Southwest,summer,clean,937,111,69,414,0.2681,1,0,0.22,1,12,0.568,28,13545.45,14003.44,-0.0327,market price
L00036,Buell,Blast,standard,2001,25,80371,very good,private,Southeast,winter,clean,492,34,30,360,0.0944,0,0,0.741,1,7,0.947,18,1200.0,1000.0,0.2,overpriced
L00037,Buell,Hammerhead 1190,superbike,2026,0,892,good,auction,Southeast,fall,clean,1190,185,102,419,0.4415,1,1,0.503,1,15,0.201,12,25043.64,27547.28,-0.0909,fair deal
L00038,Buell,Blast,standard,2000,26,77655,very good,private,Southeast,spring,clean,492,34,30,360,0.0944,0,0,0.509,1,13,0.739,60,1200.0,1000.0,0.2,overpriced
L00039,Buell,1125CR,streetfighter,2009,17,19592,good,auction,Northeast,summer,clean,1125,146,82,375,0.3893,0,0,0.566,0,10,0.549,29,1283.42,1526.6,-0.1593,strong deal
L00040,Buell,Hammerhead 1190,superbike,2025,1,1361,excellent,dealer,Northeast,spring,clean,1190,185,102,419,0.4415,1,1,0.437,1,6,0.621,10,32000.0,34000.0,-0.0588,fair deal
L00041,Buell,XB12R Firebolt,sportbike,2008,18,69292,excellent,private,Midwest,fall,clean,1203,103,84,395,0.2608,0,0,0.248,0,5,0.595,15,1200.0,1000.0,0.2,overpriced
L00042,BMW,S1000R,naked,2023,3,11411,fair,private,Midwest,fall,lien,999,165,84,438,0.3767,1,0,0.533,0,4,0.788,10,6230.59,7387.57,-0.1566,strong deal
L00043,Yamaha,MT-09,naked,2014,12,15488,fair,private,Northeast,winter,clean,890,117,68,417,0.2806,1,0,0.358,1,8,0.774,15,2000.61,1739.83,0.1499,overpriced
L00044,Buell,1190SX,streetfighter,2022,4,3899,excellent,private,Southeast,summer,clean,1190,185,102,414,0.4469,1,1,0.281,1,6,0.796,28,20544.64,19077.37,0.0769,market price
L00045,BMW,S1000R,naked,2022,4,10718,very good,auction,West Coast,fall,clean,999,165,84,438,0.3767,1,0,0.389,1,18,0.645,51,10631.75,9986.62,0.0646,market price
L00046,Buell,Hammerhead 1190,superbike,2025,1,2230,good,auction,Northeast,fall,clean,1190,185,102,419,0.4415,1,1,0.268,1,4,0.357,28,17816.46,24818.22,-0.2821,strong deal
L00047,Buell,1125CR,streetfighter,2010,16,31583,good,private,Midwest,spring,clean,1125,146,82,375,0.3893,0,0,0.451,1,10,0.843,30,1413.42,1499.41,-0.0573,fair deal
L00048,Yamaha,MT-09,naked,2025,1,792,very good,private,Mountain,summer,lien,890,117,68,417,0.2806,1,0,0.425,1,14,0.23,12,7444.92,9996.39,-0.2552,strong deal
