asset_id,property_type,region,tenant_industry,credit_tier,annual_rent,property_value,asset_age,lease_term_remaining,occupancy_rate,rent_coverage_ratio,noi_margin,sales_trend_12m,traffic_trend_12m,capex_need_pct_value,delinquency_days,arrears_pct_annual_rent,tenant_concentration_pct,local_unemployment,market_rent_growth,renewal_probability,synthetic_risk_score,portfolio_health
REIT-00001,Grocery,Midwest,Healthcare,Strong Private,1755492.89,31703865.45,20,5.91,0.9779,2.51,0.6664,0.0813,0.0537,0.0182,2,0.0053,0.0324,0.0362,0.0292,0.8637,11.11,healthy
REIT-00002,Automotive Service,Mountain,Restaurant,Investment Grade,809630.19,9823046.93,28,4.39,1.0,2.064,0.694,-0.0584,0.1387,0.033,10,0.0,0.0458,0.0323,0.009,0.8025,33.59,healthy
REIT-00003,Quick Service Restaurant,Midwest,Auto,Stable,632113.55,9653897.24,10,15.4,0.9372,3.945,0.86,0.1446,0.068,0.0064,1,0.0,0.0313,0.0375,0.0199,0.98,4.66,healthy
REIT-00004,Distribution,Southwest,Restaurant,Stable,1638160.67,22866758.89,15,4.85,0.9752,1.762,0.696,-0.1284,-0.0344,0.0463,1,0.0286,0.0504,0.0372,-0.0008,0.8432,57.91,watchlist
REIT-00005,Convenience Store,Mountain,Fuel,Stable,457050.89,7469434.24,25,8.52,0.9245,2.104,0.6697,-0.048,0.0718,0.0286,3,0.0,0.0067,0.0399,0.0962,0.7789,44.59,healthy
REIT-00006,Industrial,Midwest,Fuel,Stable,2710986.27,45342125.99,36,12.41,0.9716,2.424,0.7208,0.047,0.0921,0.0152,1,0.0035,0.0425,0.0407,0.0683,0.8387,34.63,healthy
REIT-00007,Industrial,Midwest,Restaurant,Stable,1459941.66,20178640.04,34,9.84,1.0,2.569,0.8093,-0.0184,-0.0735,0.0,4,0.023,0.014,0.0356,0.0837,0.98,38.34,healthy
REIT-00008,Grocery,Southwest,Fitness,Investment Grade,1514017.36,25253051.0,16,3.49,1.0,3.709,0.7286,0.0385,0.0487,0.0032,0,0.0,0.0256,0.0492,-0.0279,0.8478,0.0,healthy
REIT-00009,Industrial,West Coast,Fuel,Investment Grade,3009912.52,55205382.98,2,17.22,0.9325,3.23,0.7389,-0.0442,0.132,0.0166,12,0.0,0.0801,0.0298,-0.0473,0.98,9.52,healthy
REIT-00010,Convenience Store,Northeast,Fitness,Stable,639254.16,12670435.65,4,9.96,1.0,2.928,0.6691,-0.3109,0.0458,0.0141,0,0.0195,0.0365,0.0438,-0.0439,0.5928,55.39,watchlist
REIT-00011,Office,Southeast,Restaurant,Strong Private,1275406.32,15492410.05,23,7.7,0.968,3.083,0.6268,0.085,0.0718,0.0256,7,0.0136,0.054,0.0266,0.0212,0.9643,12.82,healthy
REIT-00012,Office,Midwest,Fitness,Strong Private,828784.09,10769006.85,20,5.04,0.972,2.435,0.6097,-0.0522,-0.0698,0.0204,0,0.0406,0.0613,0.0587,0.0828,0.6386,42.18,healthy
REIT-00013,Industrial,West Coast,Restaurant,Stable,3055519.82,44361128.54,26,2.83,0.9255,2.852,0.6733,-0.1025,0.0017,0.0263,2,0.0,0.0523,0.0402,0.0211,0.609,54.51,watchlist
REIT-00014,Distribution,Northeast,Grocery,Stable,2308950.56,51310012.34,18,0.2,0.9893,2.513,0.6274,-0.1718,-0.0912,0.0203,8,0.0222,0.0767,0.0373,0.0244,0.621,67.13,watchlist
REIT-00015,Distribution,Mountain,Grocery,Stable,4102186.26,68005267.47,31,8.07,0.9168,3.837,0.7607,0.0372,0.0253,0.0293,12,0.0146,0.0516,0.0445,0.0013,0.98,19.1,healthy
REIT-00016,Office,West Coast,Grocery,Strong Private,1186241.3,16328719.23,8,11.22,1.0,2.581,0.8021,0.0046,-0.1129,0.0097,10,0.0,0.0488,0.029,0.0122,0.962,20.85,healthy
REIT-00017,Fitness,Southeast,Professional Services,Stable,546575.65,7838601.5,34,8.2,0.9433,2.217,0.6561,-0.0809,0.0017,0.0191,3,0.0,0.039,0.0441,-0.0201,0.6595,48.63,watchlist
REIT-00018,Industrial,Midwest,Fitness,Stable,1626729.22,24717704.37,13,8.79,0.9797,2.255,0.6612,0.0763,-0.0042,0.0,1,0.0,0.0669,0.0613,0.0367,0.98,41.0,healthy
REIT-00019,Distribution,Southwest,Restaurant,Strong Private,4977748.86,90878349.41,37,4.32,0.9756,3.247,0.6343,-0.0203,0.0649,0.0073,4,0.0,0.0696,0.0373,0.0865,0.9591,7.85,healthy
REIT-00020,Convenience Store,Midwest,Grocery,Watch,704928.61,14708585.48,12,0.2,0.9669,2.299,0.7083,-0.0557,-0.0233,0.0231,12,0.0,0.003,0.0585,0.0313,0.7026,73.01,at risk
REIT-00021,Industrial,Northeast,Manufacturing,Investment Grade,1265873.59,19764224.54,24,9.52,1.0,2.989,0.7172,0.1671,-0.0379,0.0083,7,0.002,0.0747,0.0371,0.0537,0.9707,5.2,healthy
REIT-00022,Quick Service Restaurant,Mountain,Restaurant,Stable,940475.43,13865402.5,17,4.43,0.9835,1.839,0.6891,-0.0775,0.0749,0.0563,6,0.022,0.0186,0.0431,0.0665,0.7044,56.61,watchlist
REIT-00023,Fitness,Southeast,Professional Services,Watch,870268.47,11226052.16,4,6.33,0.9112,2.276,0.6237,-0.0855,0.0073,0.0158,6,0.0,0.0343,0.0542,-0.0372,0.6208,68.27,at risk
