asset_id,property_type,region,credit_tier,annual_rent,property_value,lease_term_remaining,rent_coverage_ratio,delinquency_days,sales_trend_12m,synthetic_risk_score,predicted_health,prob_at_risk
REIT-04050,Quick Service Restaurant,West Coast,Weak,376076.77,5192542.52,2.24,0.927,13,-0.014,100.0,at risk,0.9999996553243422
REIT-00290,Industrial,West Coast,Weak,1928331.62,32138751.21,3.22,1.34,16,-0.2179,100.0,at risk,0.9999996060704397
REIT-01935,Quick Service Restaurant,West Coast,Weak,677990.86,14014557.7,3.65,1.342,29,-0.1055,100.0,at risk,0.9999994927382794
REIT-03138,Automotive Service,Midwest,Weak,1225774.33,18824735.46,0.2,1.252,17,-0.0635,100.0,at risk,0.999999108121299
REIT-00469,Office,Southeast,Weak,1931477.13,19649871.08,0.2,0.465,1,-0.0883,100.0,at risk,0.9999973205867408
REIT-01261,Grocery,Northeast,Weak,1576920.98,34688430.46,4.86,1.247,21,-0.1215,100.0,at risk,0.999996987984938
REIT-04854,Industrial,Southeast,Weak,999868.58,15115580.35,2.37,1.814,38,-0.129,100.0,at risk,0.9999962746537754
REIT-02623,Office,Southwest,Weak,1665329.64,18711522.89,4.82,1.159,14,-0.1437,100.0,at risk,0.9999950905907206
REIT-02519,Industrial,Mountain,Weak,2187866.29,40935462.25,2.09,1.448,16,-0.2019,100.0,at risk,0.9999927368331385
REIT-00154,Convenience Store,Mountain,Weak,442416.05,7621814.95,1.64,0.87,13,-0.1193,100.0,at risk,0.9999925928570078
REIT-01394,Office,Northeast,Weak,955726.8,11219006.88,1.42,1.117,17,-0.0377,100.0,at risk,0.9999917375645807
REIT-03700,Fitness,Southeast,Weak,894777.65,12135033.62,0.2,0.904,10,-0.0837,100.0,at risk,0.9999913259511621
REIT-01679,Entertainment,Southwest,Weak,812183.6,9383227.5,8.57,1.069,34,-0.1299,100.0,at risk,0.9999896137658483
REIT-00367,Quick Service Restaurant,Mountain,Weak,929114.54,13998442.19,3.43,1.585,31,-0.0684,100.0,at risk,0.9999872566562628
REIT-02287,Entertainment,West Coast,Weak,2231284.86,27190457.77,4.53,0.911,23,-0.0103,100.0,at risk,0.9999863885417294
REIT-01862,Automotive Service,Midwest,Weak,777414.68,9523862.14,4.36,1.559,16,-0.0334,100.0,at risk,0.999986145689339
REIT-04637,Medical Office,Mountain,Weak,683489.98,10673871.89,4.73,0.907,5,-0.0575,100.0,at risk,0.9999849344294756
REIT-00184,Grocery,Southeast,Weak,2097105.1,30734897.01,2.79,1.1,5,-0.0705,100.0,at risk,0.9999846579603463
REIT-03456,Entertainment,Midwest,Weak,417744.21,6731229.61,1.53,1.148,11,-0.0875,100.0,at risk,0.9999837333053432
REIT-00636,Industrial,Southeast,Weak,2374814.35,36968003.27,8.8,0.61,8,-0.1135,100.0,at risk,0.9999794701888828
REIT-02993,Quick Service Restaurant,Southwest,Weak,939260.48,13757264.81,1.7,1.631,12,-0.1231,100.0,at risk,0.9999786398660722
REIT-02585,Quick Service Restaurant,Southeast,Weak,634691.6,7652353.31,0.46,1.857,17,-0.1829,100.0,at risk,0.9999748186812041
REIT-02463,Distribution,Northeast,Weak,2010639.85,44011062.06,8.81,1.078,21,-0.1113,100.0,at risk,0.9999720166274971
REIT-04486,Entertainment,Midwest,Weak,400106.34,5395289.46,5.76,1.204,23,-0.073,100.0,at risk,0.9999706264202163
REIT-00641,Fitness,Mountain,Weak,560863.33,6993781.14,8.52,1.201,25,-0.0373,100.0,at risk,0.999969788822554
REIT-00706,Quick Service Restaurant,Southwest,Weak,951919.13,14820739.98,6.92,1.081,24,0.0435,100.0,at risk,0.9999689131488175
REIT-02262,Automotive Service,Southwest,Watch,457590.85,7408311.0,6.63,0.539,9,-0.1525,100.0,at risk,0.9999688150375715
REIT-03164,Automotive Service,West Coast,Weak,866493.76,16485538.14,2.0,1.219,5,-0.0493,100.0,at risk,0.9999687645029162
REIT-04978,Grocery,Southeast,Weak,968516.59,16304645.61,2.77,1.117,29,0.0352,100.0,at risk,0.9999643545191543
REIT-02471,Quick Service Restaurant,West Coast,Weak,406260.94,6806657.76,7.36,0.784,6,-0.0188,98.01,at risk,0.999962402649859
